"lyrics","genre"
"driftin beneath the horizon body be weak but im tryinto make it to shore but i be fallin short i need you much wave after wave i have be sinkinso unto your promise i be clinginyou say that i be strong to you i belong keep holdin on you be my anchor so steady me steady me now you be my anchoryou be keepin my foot on the grind in angry ocean youve never break through every wave of the storm you be my anchor so steady me steady me now come steady me steady me now when i get tire of fightinall of the fear ive be hidinyou give me your breath and tell me to rest you never leave i can i can i can hear you callin me by name pullin me out from under my shame never be the same i can face anything so let it rain you be my anchor so steady me steady me now you be my anchor youre keepin my foot on the grind in angry ocean you have never break through every wave of the storm you be my anchor so steady me steady me now come steady me steady me nowdo not let go i do not wanna do this alonedo not let go i know that i will drown on my own you be my anchor so steady me steady me nowi do not wanna do this aloneanchoryou be keepin my foot on the groundi know that i will drown on my ownin angry ocean you have never break through every wave of the storm you be my anchor so steady me steady me now come steady me steady me now embed share urlcopy embed copy",2
"oh oh oh gimme gimme love gimme gimme love gimme gimme love gimme gimme love when i be go when i be go ohgimme gimme love gimme gimme love gimme gimme love gimme gimme love ohwhen i be go when i be go swing around front let me inside playin my song into my side it hurt i can not lie remember that time i fight to get outi want to get out that picture so clear will fade in my mindyou be leavin me here with ash and fire this people do not heal this people do not feel this people be not real so make me this dealwill not yougimme gimme love gimme gimme love gimme gimme love gimme gimme love when i be go ooh when i be go when i be go yeahgimme gimme love gimme gimme love when i be go yeahgimme gimme love gimme gimme love when i be go yeahwhen i be go ooh yes when i be go when i be gonewhen i be go when i be gonelook into your heart and let me know do thing turn black and gray as they gowhen i be far too go can you show me lovegive me loveooh oohooh oohcaught in a river of record and dream oohoh will you keep up with me ooheveryones look for someone to hold oohbut i can not let you go ooh oohooh ooh",4
"hope be my anthem lord when the world have fall quiet you stand beside me give me a song in the night jesus i need you every moment i need you hear now this grace buy heart sing out your praise forever beauty for ash you find the weak and contrite heart shoulder its burden and carry it into the light jesus jesus i need you every moment i need you hear now this grace buy heart sing out your praise forever and jesus i need you every moment i need you hear now this grace buy heart sing out your praise forever remember love remember mercy christ before me christ behind me your love kindness have never fail me christ before me christ behind me remember love remember mercy christ before me christ behind me your love kindness have never fail me christ before me christ behind me remember love remember mercy christ before me christ behind me your love kindness have never fail me christ before me christ behind me jesus i need you every moment i need you hear now this grace buy heart sing out your praise foreverjesusjesus i need you every moment i need you hear now this grace buy heart sing out your praise forever remember love remember mercy christ before me christ behind me your love kindness have never fail me christ before me christ behind me",2
"it feel like a party it feel like a party everybodys show upit be gotta be the whole town get a park lot full of truck oh so i know i be in a party crowdit be only eight and the speaker be bang yes this place be already light good thing i decide to roll up tonight this be one that i do not wanna miss it feel like a party it feel like a damn good time to me a bunch of country girl and back road boy all here to drink and sing so go on pour me something coldbecause we be not bout to leave it feel like a party it feel like a party to me make you wanna get your hand up side to side get your hand up side to side make you wanna get your hand up side to side get your hand up side to side every time a beat drop something gon be goin down goin downalready know we be not about to stopwe will rock til the sun come back around back aroundright now there be no where else i would rather be than with yall if you ask me it feel like a party it feel like a damn good time to me a bunch of country girl and back road boy all here to drink and sing so go on pour me something coldbecause we be not bout to leave it feel like a party it feel like a party to me if it look like a party it sound like a partyit be gon be a party to me if it taste like a party shake like a partyit be gon be a party to me it feel like a party it feel like a damn good time to me a bunch of country girl and back road boy all here to drink and sing so go on pour me something coldbecause we be not bout to leave it feel like a party it feel like a party to me make you wanna get your hand up side to side get your hand up side to side make you wanna get your hand up side to side get your hand up side to side embed share urlcopy embed copy",3
"hmm have you be pray and you still have no answershave you be pour out your heart for so many yearshave you be hope that thing would have change by nowhave you cry all the faith you have through so many tearsdo not forget the thing that he have do before and remember he can do it all once moreit be like the bright sunrise wait on the other side of the dark nightdo not ever lose hope hold on and believe maybe you just havent see it just havent see it yetyou be close than you think you be only moment from the break of dawn all his promise be just up ahead maybe you just havent see it just havent see it yet ohmaybe you just havent see it just havent see it yet ohmaybe you just havent see it he have the solution before you have the problem he see the good in you when you feel at your bad so in the question do not ever doubt his love for youbecause it be only in his love that you will find a breakthrough ohit be like the bright sunrise wait on the other side of the dark nightdo not ever lose hope hold on and believe maybe you just havent see it just havent see it yetyou be close than you think you be only moment from the break of dawn all his promise be just up ahead maybe you just havent see it just havent see it yet ohmaybe you just havent see it just havent see it yet ohmaybe you just havent see it he be move with a love so deep hallelujah for the victory good thing be come even when we can not see we can not see it yet but we believe that he be move with a love so deep hallelujah for the victory good thing be come even when we can not see we can not see it yet but we believe thatit be like the bright sunrise wait on the other side of the dark nightdo not ever lose hope hold on and believe do not ever lose hopemaybe you just havent see it just havent see it yetyou be close than you think you be think you areonly moment from the break of dawn ohall his promise be just up ahead maybe you just havent see it just havent see it yet ohmaybe you just havent see it just havent see it yet ohyou gotta hold on hold onmaybe you just havent see it just havent see it yet ohmaybe you just havent see it just havent see it yetjust havent see it yet ooh",2
"when the shadow will not leave when the battle will not stop and every breath that you breathe take all that you have get when you wonder if you always gonna feel this way hear the lord of heaven say i will hold you when you be break like a father and a friend and i will carry you through darkness till we see the sun again so rest your head and cry your tear know that i be with you here when you can not lift that weight believe me when i say i will i know you be feel overwhelm before the day even begin but i can see beyond the now this be not how your story end and when you be at your weak oh i have never be much strong so let me be the one you be lean on i will hold you when you be break like a father and a friend and i will carry you through darkness till we see the sun again so rest your head and cry your tear know that i be with you here when you can not lift that weight believe me when i say i will i will i will spin-dry your eye i will calm your fear i will show you how you be beautiful you be beautiful i will walk with you on the rage sea and i will never leavei will hold you when you be break like a father and a friend and i will carry you through darkness till we see the sun again so rest your head and cry your tear know that i be with you here when you can not lift that weight believe me when i say i will oh i will oh when there be a door that you can not open when there be a war that you can not win i will i will i will embed share urlcopy embed copy",2
"i get the devil on my throat i get blood on my hand the one that i love be in danger i be a fall man but i find me a river and it wash me clean i know that i be drownin for tryinbut i will never leave i know that i be find and i can not keep from hidindo not have a choice but i get stick decidini be a man in need of a constant revival jesus come quickly i need you for my survival get a lock on my soul i will never let you in get the hound of hell chasinmy time runnin thin but i find me a rhythm and it break down my gate sometimes it be hard to just listen but i be makin my case know that i be find i can not keep from hidindo not have a choice choicebut i get stick decidini be a man in need of a constant revival jesus come quickly i need you for my survival ooooooh ooooooh ooooooh ooooooh ooooooh ooooooh like flower need sunlight ooooooh ocean need high tide ooooooh like man need a long life ooooooh to know that they be not right like lion need their pride oooooohit be a matter of your time ooooooh i need you if i wanna survive ooooooh i know that i be find fououndand i can not keep from hidingdo not have a choice but i get stick decide i be a man in need of a constant revival jesus come quickly i need you for my survival embed share urlcopy embed copy",2
"all be good all be good angel and man rejoice for tonight darkness fall into the dawn of love light sing ale sing alleluia all be good all be good let there be peace on earth christ be come go and tell that he be in the manger sing ale sing alleluia all be good all be good lift up your voice and sing bear be now emmanuel bear be our lord and savior sing alleluia sing alleluia all be good embed share urlcopy embed copy",2
"ready setlet us rolllet us roll damn pretty girl you go and do it againyou have go and turn your sexy all the way up to 10i have never see a side ride seat look so hot baby you rock hit the spot like a fireball shotyou have get me all high head spin around and around i be down if you be down to burn down this town ready set let us roll ready set let us ride get your little fine ass on the step shimmy up inside get your little fine self on the step shimmy up inside just slide girl by my side girl yes we can run this town i can rock your world we can roll em down fog em up cruise around get stick pedal to the metal til the sun come up i make a deal with the man on the moonhe be gonna put in some overtime we have get all night ready set let us roll ready set let us ride ready set let us roll where the good year and good time meet girl we can rev it up right til we overheat just forget about the time get your lip on mine gotta kiss you get to know your smile on your mark get set ready set let us roll ready set let us ride get your little fine ass on the step shimmy up inside get your little fine self on the step shimmy up inside just slide girl by my side girl yes we can run this town i can rock your world we can roll em down fog em up cruise around get stick pedal to the metal til the sun come up i make a deal with the man on the moonhe be gonna put in some overtime we have get all night ready set let us roll ready set let us ride ready set let us roll ready set let us ride you get my heart bumpbumping when i be pull up into your drivelet us hit it 90 to nothincouple kid run into the night ready set let us roll ready set let us ride get your little fine ass on the step shimmy up inside get your little fine self on the step shimmy up inside just slide girl by my side girl yes we can run this town i can rock your world we can roll em down fog em up cruise around get stick pedal to the metal til the sun come up i make a deal with the man on the moonhe be gonna put in some overtime we have get all night ready set let us roll ready set let us ride ready set let us roll ready set let us ride get your little fine ass on the step shimmy up on inside yes we can run this town you know i will rock your world cmonlet us roll let us ride let us run this town tonight read set let us roll",3
"behold the star of bethlehem the word of god have become flesh unto us a child be bear the savior of this break world hear the angel voice sing come let us adore him peace have come for our king be with us fully god and fully man he come for all with open hand he rule with love on davids throne all praise belong to christ alone hear the angel voice sing come let us adore him peace have come for our king be with us holy holy holy jesus we adore you peace have come for our king be with us oh come let us adore him oh come let us adore him oh come let us adore him christ the lord2xhear the angel voice sing come let us adore him peace have come for our king be with us peace have come for our king be with us embed share urlcopy embed copy",2
