"lyrics","genre"
"i never think i would feel this guilty and i be break down inside live with myself nothing but lie i always think i would make it but never know i would let it get so bad live with myself be all i have i feel numb i can not come to life i feel like i be freeze in time live in a world so cold waste away live in a shell with no soul since you have go away live in a world so cold count the day since you have go awayyou have go away do you ever feel medo you ever look deep down inside stare at yourself paralyze i feel numb i can not come to life i feel like i be freeze in time live in a world so cold waste away live in a shell with no soul since you have go away live in a world so cold count the day since you have go awayyou have go away from me i be too young i be too youngto lose my soul i be too young i be too youngto feel this old so long so longi be leave behind i feel like i be lose my mind do you ever feel medo you ever look deep down inside stare at your life paralyze live in a world so cold waste away live in a shell with no soul since you have go away live in a world so cold count the day since you have go awayyou have go away from me i be too young i be too youngi be too young i be too young",7
"little supernovas in my head little soft pulse in my dead little souvenir and secret share a little offguard and unprepared i be never good enough to find i be never bad enough to mind in the middle i will do my good take me in your arm and leave the rest i will give you anything tosay you wanna stayyou want me too say you will never dieyou will always haunt me i want to know that i belong to you say you will haunt me togethertogetherwe will be together togetherforeverlittle variation on my page little door open on my cage little time have come and go so far little by little who you be i can see the pattern on your face i can see the miracle i trace symmetry and shadow i can not hide i just want to be right by your side i will give you everything tosay you wanna stayyou want me too say you will never dieyou will always haunt me i want to know that i belong to you say you will haunt me say you wanna stayyou want me too say you will never dieyou will always haunt me i want to know that i belong to you say you will haunt me togethertogetherwe will be together togetherforeveri belong to you togetherwe will be together togetherforeveri belong to you little supernovas in my head little soft pulse in my dead little souvenir and secret share a little offguard and unprepared i will give you anything toi will give you everything tosay you wanna stayyou want me too say you will never dieyou will always haunt me i want to know that i belong to you say you will haunt me say you wanna stayyou want me too say you will never dieyou will always haunt me i want to know that i belong to you say you will haunt me togethertogetherwe will be together togetherforeveri belong to you togetherwe will be together togetherforeveri belong to you",7
"happiness hit her like a train on a track come towards her stick still no turn back she hide around corner and she hide under bed she kill it with kiss and from it she flee with every bubble she sink with a drink and wash it away down the kitchen sink the dog day be over the dog day be do the horse be come so you good run run fast for your mother run fast for your father run for your child for your sister and brother leave all your love and your long behind you can not carry it with you if you want to survive the dog day be over the dog day be do can you hear the horsesbecause here they come and i never want anything from you except everything you have and what be leave after that too oh happiness hit her like a bullet in the back strike from a great height by someone who should have know good than that the dog day be over the dog day be do can you hear the horsesbecause here they come run fast for your mother run fast for your father run for your child for your sister and brother leave all your love and your long behind you can not carry it with you if you want to survive the dog day be over the dog day be do can you hear the horsesbecause here they come the dog day be over the dog day be do can you hear the horsesbecause here they come the dog day be over the dog day be go can you hear the horsesbecause here they come",7
"shake me down not a lot of people leave around who know now softly lay on the grind oooh not a lot of people leave around oooh oooh in my life i have see people walk into the sea just to find memory plague by constant misery their eye cast down fix upon the grind their eye cast down i will keep my eye fix on the sun shake me down cut my head on a silver cloud break sound softly lay on the grind oooh not a lot of people leave around oooh oooh in my past bittersweet there be no love between the sheet taste the blood break dream lonely time in deed with eye cast down fix upon the grind with eye cast down i will keep my eye fix on the sun turn back now it be time for me to let go way down have to find a place to lie low lamp shade turn around into a light post walk around the corner never see it come still i try to make a move it almost stop me from belief i do not want to know the future i be like roll thunder even on a cloudy day even on a cloudy day even on a cloudy day even on a cloudy day even on a cloudy day even on a cloudy day even on a cloudy day i will keep my eye fix on thei will keep my eye fix on thei will keep my eye fix on the sun shake me down not a lot of people leave around oooh oooh",7
"maybe i be a dreamer maybe i be misunderstand maybe you be not see the side of me you should maybe i be crazymaybe i be crazymaybe i be the only onemaybe i be the only onemaybe i be just out of touch maybe i have just have enough maybe it be time to change and leave it all behind i have never be one to walk alone i have always be scare to try so why do it feel so wrong to reach for something much to wanna live a good life what be i wait forcause nothing stay the same maybe it be time to change maybe it be hopelessmaybe it be hopelessmaybe i should just give upmaybe i should just give upwhat if i can not trust myselfwhat if i just need some helpmaybe it be time to change and leave it all behind i have never be one to walk alone i have always be scare to try so why do it feel so wrong to reach for something much to wanna live a good life what be i wait forcause nothing stay the same maybe it be time to change and maybe it be time to change and leave it all behind i have never be one to walk alone i have always be scare to try and maybe it be time to change and leave it all behind i have never be one to walk alone i have always be scare to try so why do it feel so wrong to reach for something much to wanna live a good life what be i wait forcause nothing stay the same maybe it be time to change cause nothing stay the same maybe it be time to change",7
"good i be a gangster in 1934junkies winos pimp and whore and all you man woman and kid good stay out of the way i just leave your town take all your loot wear a pink carnation and a pinstripe suit a hop up v8 ford and some twotone shoe and i be already go i leave a pool of blood and sorrow i have get the machine gun blue i will be out of here before the break of dawn hit the highway smoke a big cigar gonna stop and bury the cash then get some morethere be only one thing on my mindthat be makin across that ol state line amid a hail of avenge bullet that be mean for me and i be already go i leave a path of pure destruction i have get the machine gun blue already go my life will soon be through i have get the machine gun blue i be public enemy numb one i be sorry for all the thing that i have do if indeed we do cross pathsit be nothing personal and i be already go i leave a trail of devastation i have get the machine gun blue already go my life will soon be through i have get the machine gun blue embed share urlcopy embed copy",7
"i be always scream my lung out til my head start spin play my song be the way i cope with lifewill not keep my voice down know the word i speak be the thought i think out loud i like to keep thing honest i be a safe bet like your life stake on it for real i would hate to keep you all wonder i be constant like the season and i will never be forget manlet us leave no word unspoken and save regret for the break will you even look back when you think of meall i want be a place to call my own to mend the heart of everyone who feel alone whoa you know to keep your hope up high and your head down low keep your hope up high and your head down low still get something leave to prove it tend to keep thing movinwhile everyone around me say my last day be loom overhead but what the hell do they think they knowmy head above the water while they drown in the undertowlet us leave no word unspoken and save regret for the break will you even look back when you think of meall i want be a place to call my own to mend the heart of everyone who feel alone whoa you know to keep your hope up high and your head down low all i want be a place to call my own to mend the heart of everyone who feel alone whoa you know to keep your hope up high and your head down low if you take it from me live your life for yourselfbecause when it be all say and do you do not need anyone else cmonso let us get back to when everything seem perfect not a worry in the world tell me be this all worth iti get what i want so everyones always judge me i be not afraid of anything i have get the whole world in front of me all i want be a place to call my own to mend the heart of everyone who feel alone whoa you know to keep your hope up high and your head down low all i want be a place to call my own to mend the heart of everyone who feel alone whoa you know to keep your hope up high and your head down lowkeep your head down lowkeep your head down lowkeep your hope up high and your head down low",7
"it be be a long time so longthere be only one life i know i knowbut i have my own mind i will say so if it seem right air rush outi see your warm face with the soft mouth but it speak something else elsei will take my chance with the cast down we can feel the airrush out out from the center not like one side be any good stand up as they bend reach my good theoryits already in me in mewe can feel we can feel the air rush outso many question and the answer come back unansweredlet us hold the old scriptit be a new twist you can feel the airrush out out from the center not like one side be any good stand up as they bend reach my good theoryits already in me in a lonely real place neither part nor mistake love what you have with your time by douse find my true desire my threat my appetitemy true desirei feel the airrush out out from the center not like one side be any good stand up as they bend reach my good theoryits already in me rush out out from the center not like one side be any good stand up as they bend reach my good theoryits already in me in me embed share urlcopy embed copy",7
"run in place feel like you be lose your faith feel like you be fade away without a voice to break the chaindo not you get playeddo not you let em hand you your fatedo not you know the world be your stageso what you gotta saylet me hear you sound off let em know how you feel that the anger inside be real sound off long before the bridge be burn the power that be be gonna hear your word have you be hear have you be walk round this world misunderstand have you be hear you gotta take back what you know be yours let me hear you sound off search for truth you know when someones lie to you we all know how it feel to be use do they take us all for foolsthey break their own rule the hypocrite be lead us through do as they say and not as they door do we have a right to chooselet me hear you sound off let em know how you feel that the anger inside be real sound off long before the bridge be burn the power that be be gonna hear your word have you be hear have you be walk round this world misunderstand have you be hear you gotta take back what you know be yours let me hear you let me hear you let me hear you sound off i hope you get the message loud and clear we will never disappear we will ask the question that you fearit be the only thing you will hear sound off let em know how you feel that the anger inside be real sound off long before the bridge be burn the power that be be gonna hear your word have you be hear have you be walk round this world misunderstand have you be hear you gotta take back what you know be yours let me hear you sound off embed share urlcopy embed copy",7
"when i be a young god i can live without the law i make my mess i can live without you all if i starve from breathe i will not listen to the call i make my bed i be commit i be strong they keep say my generation dead dead we be helpless we have nothing and nothing wrongwe be commit we be hungry we be strong dead we be restless we be break but stand tallwe be devote we be drive we be cause i do not think that i suffer i do not think i have learn at all i get right back up and then i take another fall my teacher tell me something they say that i would hit a wall and if i keep it up i will not live to tell us all they keep say my generation dead dead we be helpless we have nothing and nothing wrongwe be commit we be hungry we be strong dead we be restless we be break but stand tallwe be devote we be drive we be cause talk down to me and our generation be this what you want to bea contradictioni do not think that i suffer i do not think i have learn at all i get right back up and then i take another fall oh yes we be dead i be dead oh yes dead my generation dead dead we be helpless we have nothing and nothing wrongwe be commit we be hungry we be strong dead we be restless we be break but stand tallwe be devote we be drive we be cause i be dead oh yes we be dead oh dead my generationsoh yes dead suck it embed share urlcopy embed copy",7
"i do not know you be a fake every lie straight to my face so blind i can not see right behind my back you stab me should have know you be a bitch shut up you be make me sick little man you be nothing like me lie cheat so deceive i trust you break me down and you screw me over do not try to deny it you cannot hide it ill be ignite when i get to watch you burn burn burn i want to watch you burn burn burn i want to watch you burn you be go to get what you deserve i want to watch you burn you turn me inside out my world be upside down you be not hurt be you happy now look over your shoulder fuck me over i trust you sell me out this be far from over do not try to deny it you cannot hide it ill be ignite when i get to watch you burn burn burn i want to watch you burn burn burn i want to watch you burn burn i want to watch you burn you be go to get what you deserve you will never learn embed share urlcopy embed copy",7
"the businessman be drink my blood like the kid in art school say they would and i guess i will just begin again you say can we still be friendsif i be scare i would and if i be bore you know i would and if i be yours but i be not all the kid have always know that the emperor wear no clothe but they bow down to him anyway because it be good than be alone if i be scare i would and if i be bore you know i would and if i be yours but i be not now you be knock at my door say please come out with us tonightbut i would rather be alone than pretend i feel alright if the businessman be drink my blood like the kid at art school say they would then i guess i will just begin again you say can we still be friendsif i be scare i would and if i be pure you know i would and if i be yours but i be not now i be ready to start if i be scare i would and if i be pure you know i would and if i be yours but i be not now i be ready to start now i be ready to start i would rather be wrong than live in the shadow of your song my mind be open wide and now i be ready to start and now i be ready to start my mind be open wide and now i be ready to start not sure you will open the door to step out into the dark now i be ready",7
"christmas night another fight tear we cry a flood get all kind of poison in of poison in my blood i take my foot to oxford street tryna right a wrong just walk away that window say but i can not believe she be go when you be still wait for the snow to falldoes not really feel like christmas at all up above candle on air flicker oh they flicker and they float but i be up here hold on to all that chandelier of hope like some drunken elvis sing i go sing out of tune say how i always love you darling and i always will oh when you be still wait for the snow to falldoes not really feel like christmas at all still wait for the snow to fall it do not really feel like christmas at all that christmas light light up the street down where the sea and city meet may all your trouble soon be go oh christmas light keep shine on that christmas light light up the street maybe they will bring her back to me then all my trouble will be go oh christmas light keep shine on ohohohoh ohohohoh oh christmas light light up the street light up the firework in me may all your trouble soon be go that christmas light keep shine on",7
"i want justice i want you overthrow i want justice i want to stand alone so take all you can from a open hand the hope of the dying to save your diseaseyou be a empty breed your love of this lifetime so you be somebody who brag about their innocence while play on the ignorant storm now i be just here to criticize the lie the lie the lie i want justice i want you overthrow i want courage i want to stand alone i want your arrogance and i want your pain i want your everything and i want your head so cry if you feel that the tear you shed will make you feel good see i be just critical of live like a criminal while you become a royalty hide i wonder how you will justify the lie the lie the lie i want justice i want you overthrow i want courage i want to stand alone i want your arrogance and i want your pain i want your everything and i want your head so bury all the evidence disguise yourself plead innocent one penalty one consequence be sure your jury they will recognize the lie the lie the lie the lie i want justice i want you overthrow i want courage i want to stand alone i want your arrogance and i want your pain i want your everything and i want your head i want justice i want you overthrow i want courage i want to stand alone i want your arrogance and i want your pain i want your everything and i want you dead i want justice i want justice give me justice and i want you dead embed share urlcopy embed copy",7
"you turn me off at the push of a button and you pretend that i do not mean nothing i be not a saint that be easy to tell but guess what honey you be not no angel you like to scream use word as a weapon good go ahead take your good shoot woman i want to leave you it be easy to see but guess what honey it be not that easy we get so complicate complicatedthis finger for our memory so rip my picture from your wall tear them down and burn them all light the fire walk awaythere be nothing leave to say so take the ash from the floor bury them to just make sure that nothing much be leave of me just bittersweet memory memory i want to run and escape from your prison but when i leave i feel something be miss i be not afraid that be easy to tell this can not be heaven it feel like i be in hellyou be like a drug that i can not stop take i want much and i can not stop crave i still want you it be easy to see but guess what honey you be not that good for me we get so complicate complicatedthis finger for our memory so rip my picture from your wall tear them down and burn them all light the fire walk awaythere be nothing leave to say so take the ash from the floor bury them to just make sure that nothing much be leave of me just bittersweet memory just bittersweet memory we get so complicate complicatedthis finger for our memory we get so complicate complicate complicatedso rip my picture from your wall tear them down and burn them all light the fire walk awaythere be nothing leave to say so take the ash from the floor bury them to just make sure that nothing much be leave of me just bittersweet memory whoaohohoh whoaohohoh whoaohohohthere be nothing leave to say whoaohohoh whoaohohoh whoaohohohthere be nothing leave to say",7
