,congress_numbers,current,description,enddate,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.fax,extra.office,person.bioguideid,person.birthday,person.cspanid,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid,leadership_title,extra.rss_url,caucus,extra.how,age
0,"[115, 116, 117]",True,Senior Senator for Idaho,2023-01-03,Republican,202-224-6142,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,ID,Sen.,Senator,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,https://www.crapo.senate.gov/contact,202-228-1375,239 Dirksen Senate Office Building,C000880,1951-05-20,26440.0,Michael,male,Male,Crapo,https://www.govtrack.us/congress/members/michael_crapo/300030,D.,Sen. Michael “Mike” Crapo [R-ID],,Mike,N00006267,26830,"Crapo, Michael “Mike” (Sen.) [R-ID]",MikeCrapo,senatorcrapo,,,,,70.69041095890411
1,"[115, 116, 117]",True,Senior Senator for Iowa,2023-01-03,Republican,202-224-3744,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,IA,Sen.,Senator,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,https://www.grassley.senate.gov/contact,202-224-6020,135 Hart Senate Office Building,G000386,1933-09-17,1167.0,Charles,male,Male,Grassley,https://www.govtrack.us/congress/members/charles_grassley/300048,E.,Sen. Charles “Chuck” Grassley [R-IA],,Chuck,N00001758,53293,"Grassley, Charles “Chuck” (Sen.) [R-IA]",ChuckGrassley,senchuckgrassley,President Pro Tempore of the Senate,http://grassley.senate.gov/customcf/rss_feed.cfm,,,88.37260273972603
2,"[115, 116, 117]",True,Senior Senator for Vermont,2023-01-03,Democrat,202-224-4242,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,VT,Sen.,Senator,https://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,https://www.leahy.senate.gov/contact/,202-224-3479,437 Russell Senate Office Building,L000174,1940-03-31,1552.0,Patrick,male,Male,Leahy,https://www.govtrack.us/congress/members/patrick_leahy/300065,J.,Sen. Patrick Leahy [D-VT],,,N00009918,53353,"Leahy, Patrick (Sen.) [D-VT]",SenatorLeahy,SenatorPatrickLeahy,President Pro Tempore of the Senate,http://www.leahy.senate.gov/rss/feeds/press/,,,81.83287671232877
3,"[115, 116, 117]",True,Senior Senator for Alaska,2023-01-03,Republican,202-224-6665,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AK,Sen.,Senator,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,https://www.murkowski.senate.gov/public/index.cfm/contact,202-224-5301,522 Hart Senate Office Building,M001153,1957-05-22,1004138.0,Lisa,female,Female,Murkowski,https://www.govtrack.us/congress/members/lisa_murkowski/300075,A.,Sen. Lisa Murkowski [R-AK],,,N00026050,15841,"Murkowski, Lisa (Sen.) [R-AK]",LisaMurkowski,senatormurkowski,,http://www.murkowski.senate.gov/public/?a=rss.feed,,,64.67945205479452
4,"[115, 116, 117]",True,Senior Senator for Washington,2023-01-03,Democrat,202-224-2621,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,WA,Sen.,Senator,https://www.murray.senate.gov/public,154 Russell Senate Office Building Washington DC 20510,https://www.murray.senate.gov/public/index.cfm/contactme,202-224-0238,154 Russell Senate Office Building,M001111,1950-10-11,25277.0,Patty,female,Female,Murray,https://www.govtrack.us/congress/members/patty_murray/300076,,Sen. Patty Murray [D-WA],,,N00007876,53358,"Murray, Patty (Sen.) [D-WA]",PattyMurray,SenatorPattyMurray,Assistant Senate Majority Leader,http://www.murray.senate.gov/public/?a=rss.feed,,,71.2958904109589
5,"[115, 116, 117]",True,Senior Senator for New York,2023-01-03,Democrat,202-224-6542,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,NY,Sen.,Senator,https://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,https://www.schumer.senate.gov/contact/email-chuck,202-228-3027,322 Hart Senate Office Building,S000148,1950-11-23,5929.0,Charles,male,Male,Schumer,https://www.govtrack.us/congress/members/charles_schumer/300087,E.,Sen. Charles “Chuck” Schumer [D-NY],,Chuck,N00001093,26976,"Schumer, Charles “Chuck” (Sen.) [D-NY]",SenSchumer,SenatorSchumer,Senate Majority Leader,,,,71.17808219178082
6,"[115, 116, 117]",True,Senior Senator for Alabama,2023-01-03,Republican,202-224-5744,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AL,Sen.,Senator,https://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,202-224-3416,304 Russell Senate Office Building,S000320,1934-05-06,1859.0,Richard,male,Male,Shelby,https://www.govtrack.us/congress/members/richard_shelby/300089,C.,Sen. Richard Shelby [R-AL],,,N00009920,53266,"Shelby, Richard (Sen.) [R-AL]",SenShelby,SenatorRichardShelby,,http://www.shelby.senate.gov/public/index.cfm/rss/feed,,,87.73972602739725
7,"[115, 116, 117]",True,Senior Senator for Oregon,2023-01-03,Democrat,202-224-5244,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,OR,Sen.,Senator,https://www.wyden.senate.gov,221 Dirksen Senate Office Building Washington DC 20510,https://www.wyden.senate.gov/contact/,202-228-2717,221 Dirksen Senate Office Building,W000779,1949-05-03,1962.0,Ron,male,Male,Wyden,https://www.govtrack.us/congress/members/ron_wyden/300100,,Sen. Ron Wyden [D-OR],,,N00007724,27036,"Wyden, Ron (Sen.) [D-OR]",RonWyden,senronwyden,,http://www.wyden.senate.gov/rss/feeds/?type=all&amp;,,,72.73698630136987
8,"[115, 116, 117]",True,Senior Senator for Missouri,2023-01-03,Republican,202-224-5721,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,MO,Sen.,Senator,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,https://www.blunt.senate.gov/public/index.cfm/contact-roy,202-224-8149,260 Russell Senate Office Building,B000575,1950-01-10,45465.0,Roy,male,Male,Blunt,https://www.govtrack.us/congress/members/roy_blunt/400034,,Sen. Roy Blunt [R-MO],,,N00005195,418,"Blunt, Roy (Sen.) [R-MO]",RoyBlunt,SenatorBlunt,Senate Republican Policy Committee Chair,http://www.blunt.senate.gov/public/?a=rss.feed,,,72.04657534246576
9,"[115, 116, 117]",True,Senior Senator for Arkansas,2023-01-03,Republican,202-224-4843,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AR,Sen.,Senator,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,https://www.boozman.senate.gov/public/index.cfm/contact,202-228-1371,141 Hart Senate Office Building,B001236,1950-12-10,92069.0,John,male,Male,Boozman,https://www.govtrack.us/congress/members/john_boozman/400040,,Sen. John Boozman [R-AR],,,N00013873,27958,"Boozman, John (Sen.) [R-AR]",JohnBoozman,BoozmanPressOffice,,http://www.boozman.senate.gov/public/index.cfm/rss/feed,,,71.13150684931507
